question_id,priority,category,expected_behavior,question
FIN-001,P0,financial_lookup,answer,"삼성전자의 2025년 연결 매출액은 얼마인가요?"
FIN-002,P0,financial_lookup,answer,"삼성전자의 2025년 연결 영업이익은 얼마인가요?"
FIN-003,P0,financial_lookup,answer,"삼성전자의 2025년 연결 당기순이익은 얼마인가요?"
FIN-004,P0,financial_lookup,answer,"삼성전자의 2025년 말 연결 자산총계는 얼마인가요?"
FIN-005,P0,financial_lookup,answer,"삼성전자의 2025년 말 연결 부채총계는 얼마인가요?"
FIN-006,P0,financial_trend,answer,"삼성전자의 최근 3개년 연결 매출액을 연도별로 알려주세요."
FIN-007,P0,financial_growth,answer,"삼성전자의 2024년 대비 2025년 연결 매출액 성장률은 얼마인가요?"
FIN-008,P0,financial_growth,answer,"삼성전자의 최근 매출액 성장정보를 알려줘."
FIN-009,P0,financial_trend,answer,"삼성전자의 최근 3개년 영업이익 추이를 알려주세요."
FIN-010,P0,financial_comparison,answer,"삼성전자의 2025년 연결 매출액과 별도 매출액을 각각 알려주세요."
FIN-011,P0,financial_lookup,answer,"SK하이닉스의 2025년 연결 매출액은 얼마인가요?"
FIN-012,P0,financial_lookup,answer,"SK텔레콤의 2025년 연결 영업수익은 얼마인가요?"
FIN-013,P0,financial_lookup,answer,"NAVER의 2025년 연결 매출액은 얼마인가요?"
FIN-014,P1,financial_lookup,answer,"현대자동차의 2025년 연결 영업이익은 얼마인가요?"
FIN-015,P1,financial_lookup,answer,"기아의 2025년 연결 당기순이익은 얼마인가요?"
FIN-016,P1,financial_lookup,answer,"LG에너지솔루션의 2025년 연결 매출액은 얼마인가요?"
FIN-017,P1,financial_lookup,answer,"삼성바이오로직스의 2025년 연결 매출액은 얼마인가요?"
FIN-018,P1,financial_lookup,answer,"셀트리온의 2025년 연결 영업이익은 얼마인가요?"
FIN-019,P1,financial_calculation,answer,"삼성전자의 2025년 연결 부채비율을 계산해 주세요."
FIN-020,P0,corpus_coverage,abstain,"2025년 연결 영업이익이 10억 원을 넘는 기업은 모두 몇 개인가요?"
EVT-001,P0,contract_original,answer,"삼성바이오로직스가 2023년 3월 2일 최초 공시한 단일판매·공급계약 금액은 얼마인가요?"
EVT-002,P0,contract_counterparty,answer,"삼성바이오로직스가 2023년 3월 2일 공시한 계약의 상대방은 누구인가요?"
EVT-003,P0,contract_correction,answer,"삼성바이오로직스의 Pfizer 계약은 2023년 7월 정정 후 얼마로 변경됐나요?"
EVT-004,P0,contract_correction,answer,"삼성바이오로직스 Pfizer 계약의 최초 금액과 2023년 7월 정정 금액을 각각 알려주세요."
EVT-005,P0,contract_calculation,answer,"삼성바이오로직스 Pfizer 계약금액은 최초 공시 대비 정정 후 얼마나 증가했나요?"
EVT-006,P0,event_title,answer,"셀트리온이 공시한 CT-P39 임상 3상 결과 발표의 정확한 제목은 무엇인가요?"
EVT-007,P0,event_status,abstain,"2023년 4월 10일 기준 셀트리온 CT-P39의 품목허가가 완료됐나요?"
EVT-008,P0,share_issuance,answer,"레인보우로보틱스 유상증자 결정에서 새로 발행한 보통주식 수는 몇 주인가요?"
EVT-009,P0,treasury_stock,answer,"SK하이닉스 자기주식 처분 결정의 처분예정 보통주식 수는 몇 주인가요?"
EVT-010,P1,holding_report,answer,"레인보우로보틱스 대량보유상황보고서의 보고자는 누구인가요?"
EVT-011,P1,version_lineage,answer,"한화오션의 2023년 11월 6일 유상증자 정정공시는 현재 유효본인가요?"
EVT-012,P1,version_lineage,answer,"한화오션의 2025년 9월 5일 최초 대량보유 공시는 현재 유효본인가요?"
EVT-013,P1,version_lineage,answer,"고려아연의 2024년 10월 4일 자기주식 취득 정정공시는 현재 유효본인가요?"
EVT-014,P1,version_lineage,answer,"고려아연의 2026년 3월 25일 사업보고서는 2026년 6월 1일 기준 최신 유효본인가요?"
EVT-015,P0,holding_report,abstain,"HMM의 가장 최근 대량보유상황보고서 기준 보유주식 수는 몇 주인가요?"
TXT-001,P0,business_summary,answer_or_grounded_abstention,"삼성전자의 최근 사업보고서에서 주요 제품과 서비스를 요약해 주세요."
TXT-002,P0,risk_summary,answer_or_grounded_abstention,"삼성전자의 최근 사업보고서에 기재된 주요 위험요인을 세 가지로 요약해 주세요."
TXT-003,P1,business_summary,answer_or_grounded_abstention,"SK하이닉스의 최근 사업보고서에서 주요 제품군을 알려주세요."
TXT-004,P1,business_summary,answer_or_grounded_abstention,"현대자동차의 최근 사업보고서에서 사업부문별 주요 제품을 요약해 주세요."
TXT-005,P1,risk_summary,answer_or_grounded_abstention,"LG에너지솔루션의 최근 사업보고서에서 원재료 및 공급망 위험을 요약해 주세요."
TXT-006,P1,research_development,answer_or_grounded_abstention,"삼성바이오로직스의 최근 사업보고서에서 연구개발 활동을 요약해 주세요."
TXT-007,P1,business_summary,answer_or_grounded_abstention,"한화에어로스페이스의 최근 사업보고서에서 주요 사업부문을 알려주세요."
TXT-008,P1,business_summary,answer_or_grounded_abstention,"HMM의 최근 사업보고서에서 주요 서비스와 영업 특성을 요약해 주세요."
